行号,SKU,建议产品本体,建议方向Skill原子,建议商品标准化类型,建议是否待复核,建议待复核原因,风险提示补充,修正理由
205,2560391,"电动高铁仿真模型","玩具娱乐商品开发","非标","否","","","儿童是适用人群，不是商品本体"
206,2560392,"四合一菱形美甲猫眼磁铁棒","美妆个护功能商品开发","标品","否","","","数量不能写入产品本体"
208,2560394,"双模式不锈钢可旋转水龙头延伸器套件","功能维修配件开发","标品","否","","","英文彩盒包装不是商品本体，也不是主题"
209,2560395,"蛋糕装饰摆件套装","派对庆典商品开发","非标","否","","","农场动物是主题元素，不应占据产品本体"
211,2560397,"魔法棒手杖/角色造型道具","服饰饰品开发","非标","否","","","派对是使用场景，真实本体是角色造型道具"
213,2560399,"车载LED电子表","汽车功能配件开发","标品","否","","","原核心功能手工创作错误，应为车内时间显示和夜光查看"
214,2560400,"耳穴贴","健康护理与康复辅助开发","标品","否","","","数量和透明规格应进入数量或规格字段"
215,2560401,"直型牙缝刷/齿间刷","健康护理与康复辅助开发","标品","否","","","数量不能写入产品本体"
216,2560402,"脸部纹身贴","美妆装饰商品开发","非标","否","","","数量和豹纹主题应与产品本体分离"
217,2560403,"装饰摆件","家居装饰商品开发","非标","否","","","高地牛是主题，友谊礼物是购买场景"
218,2600254,"纹身贴","美妆装饰商品开发","非标","否","","猎魔女团IP/授权复核","数量、IP主题和型号不是产品本体"
220,2600256,"刺绣布贴","DIY手工商品开发","非标","否","","","数量和玫瑰图案主题应与本体分离"
221,2600257,"鱼缸外置过滤器套装","宠物用品开发","标品","否","","","数量不能写入产品本体"
222,2600258,"宠物洗澡刷","宠物用品开发","标品","否","","","小号属于规格"
223,2600259,"门挡","家居收纳与防护商品开发","标品","否","","","数量、颜色和备注不是产品本体"
224,2600260,"垃圾袋收纳架","家居收纳与防护商品开发","标品","否","","","数量不能写入产品本体"
225,2600261,"宠物装扮套装","宠物用品开发","非标","否","","","生日是场景主题，商品本体是宠物装扮套装"
226,2600262,"宠物装扮套装","宠物用品开发","非标","否","","","与225行同物同名，生日是场景主题"
227,2600263,"派对气球","派对庆典商品开发","非标","否","","","数量、公主和生日属于组合、主题与场景字段"
228,2600264,"免缝纽扣","服饰功能配件开发","标品","否","","","免缝纽扣是服装固定替换件，DIY场景不能抢占方向"
229,2600265,"万用表双头鳄鱼夹测试线","通用工具开发","标品","否","","电气安全/额定电压电流复核","万用表测试线是测量作业附件，不是手机或消费电子配件"
231,2600267,"带盖义齿盒","健康护理与康复辅助开发","标品","否","","","数量不能写入产品本体"
